Playlist,Song Title,Artist,Run Time,Notes
Reception,Just The Way You Are,Bruno Mars,3:41,
Reception,Build Me Up Buttercup,The Foundations,2:58,
Reception,Love Me Now,John Legend,3:30,
Reception,Home ,Edward Sharpe & The Magnetic Zeros,5:03,
Reception,Livin' On A Prayer,Bon Jovi,4:09,
Reception,Sing Together,Train,3:26,
Reception,"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,2:44,
Reception,I  Believe In A Thing Called Love,The Darkness,3:38,
Reception,Falling Slowly,"Glen Hansard, Marketa Irglova",4:04,
Reception,Somebody To Love,Queen,4:53,
Reception,The Best Day,Taylor Swift,4:05,
Reception,Classic,MKTO,2:55,
Reception,Two Of Hearts,Stacey Q,3:58,
Reception,Wonderful Tonight,Eric Clapton,3:46,
Reception,Dear Future Husband,Meghan Trainor,3:04,
REception,You and I,Ingrid Michaelson,2:29,
Reception,Girls Like You (Feat. Cardi B),"Maroon 5, Cardi B",3:56,
Reception,Landslide,Dixie Chicks,3:48,
Reception,The Twist,Chubby Checker,2:34,
Reception,I'm Already There,Lonestar,4:13,
Reception,Last One I Love,Marc E. Bassy,4:35,"Annouce: ""Last Chance to Dance"""
Reception,Save the Last Dance for Me,Michael Buble,3:39,
,,Total Run Time (Hr):,3:48,
